Date,Refinery Capacity in %
2/29/2008,85.9
2/22/2008,84.7
2/15/2008,83.5
2/8/2008,85.1
2/1/2008,84.3
1/25/2008,85
1/18/2008,86.5
1/11/2008,87.1
1/4/2008,91.3
12/28/2007,89.4
12/21/2007,88.1
12/14/2007,87.8
12/7/2007,88.8
11/30/2007,89.4
11/23/2007,89.4
11/16/2007,87
11/9/2007,87.7
11/2/2007,86.2
10/26/2007,86.2
10/19/2007,87.1
10/12/2007,87.3
10/5/2007,87.8
9/28/2007,87.5
9/21/2007,86.9
9/14/2007,89.6
9/7/2007,90.5
8/31/2007,92.1
8/24/2007,90.3
8/17/2007,91.6
8/10/2007,91.8
8/3/2007,91.3
7/27/2007,93.6
7/20/2007,91.7
7/13/2007,91
7/6/2007,90.2
6/29/2007,90
6/22/2007,89.4
6/15/2007,87.6
6/8/2007,89.2
6/1/2007,89.6
5/25/2007,91.1
5/18/2007,91.1
5/11/2007,89.5
5/4/2007,89
4/27/2007,88.3
4/20/2007,87.8
4/13/2007,90.4
4/6/2007,88.4
3/30/2007,87
3/23/2007,87
3/16/2007,86.3
3/9/2007,85.6
3/2/2007,85.8
2/23/2007,86
2/16/2007,85.2
2/9/2007,86.6
2/2/2007,87.3
1/26/2007,87.1
1/19/2007,87.4
1/12/2007,87.9
1/5/2007,91.5
12/29/2006,91
12/22/2006,90.9
12/15/2006,90.7
12/8/2006,89.1
12/1/2006,90.5
11/24/2006,88.1
11/17/2006,87.1
11/10/2006,87.3
11/3/2006,88.1
10/27/2006,88.9
10/20/2006,86.2
10/13/2006,86.3
10/6/2006,89.2
9/29/2006,89.9
9/22/2006,92.4
9/15/2006,93.4
9/8/2006,93
9/1/2006,93.6
8/25/2006,92.9
8/18/2006,92.8
8/11/2006,91.5
8/4/2006,91.6
7/28/2006,90.8
7/21/2006,92.5
7/14/2006,92.9
7/7/2006,90.5
6/30/2006,93.1
6/23/2006,93.8
6/16/2006,93.3
6/9/2006,92.7
6/2/2006,91
5/26/2006,91.4
5/19/2006,89.7
5/12/2006,89.8
5/5/2006,90.2
4/28/2006,88.8
4/21/2006,88.2
4/14/2006,86.2
4/7/2006,85.6
3/31/2006,85.9
3/24/2006,87
3/17/2006,86.7
3/10/2006,85.7
3/3/2006,83
2/24/2006,85.2
