Date,Stock,Stock_change,Price,Price_change
10/4/2013,1098421,0.000654453,103.12,0.000252766
10/11/2013,1098310,-4.38895E-05,102.63,-0.002068575
10/18/2013,1102009,0.001460204,101.48,-0.00489387
10/25/2013,1096218,-0.002288212,97.77,-0.016174843
11/1/2013,1087433,-0.003494421,96.93,-0.003747402
11/8/2013,1081508,-0.002372772,94.32,-0.011854421
11/15/2013,1069774,-0.004737698,93.93,-0.00179947
11/22/2013,1068135,-0.000665893,94,0.000323531
11/29/2013,1061048,-0.002891115,93.2,-0.003711941
12/6/2013,1055906,-0.002109773,96.42,0.014751215
12/13/2013,1043309,-0.005212304,97.48,0.004748393
12/20/2013,1030603,-0.005321551,98.12,0.002842019
12/27/2013,1023985,-0.002797807,99.5,0.006065541
1/3/2014,1025775,0.000758515,96.78,-0.012037463
1/10/2014,1015515,-0.004365768,92.76,-0.018424878
1/17/2014,1011556,-0.001696412,93.38,0.00289313
1/24/2014,1007787,-0.001621179,96.42,0.013913258
1/31/2014,1002474,-0.002295634,97.24,0.003677823
2/7/2014,1004308,0.000793805,97.74,0.002227385
2/14/2014,1001808,-0.001082427,100.2,0.010795387
2/21/2014,1001310,-0.000215942,102.72,0.010787289
2/28/2014,1003492,0.000945361,102.45,-0.001143048
3/7/2014,1001623,-0.000809626,102.77,0.001354394
3/14/2014,1001111,-0.000222055,99.25,-0.015135841
3/21/2014,1006569,0.002361318,99.41,0.000699558
3/28/2014,1005298,-0.000548732,100.4,0.004303639
4/4/2014,1010677,0.002317564,100.47,0.000302689
4/11/2014,1025138,0.00616995,102.75,0.009745428
4/18/2014,1037160,0.005063427,103.97,0.005126213
4/25/2014,1045072,0.003300453,102.1,-0.007882302
5/2/2014,1052492,0.003072591,100.21,-0.00811468
5/9/2014,1055940,0.001420438,100,-0.000911062
5/16/2014,1058017,0.000853404,101.64,0.007064656
5/23/2014,1061212,0.001309506,103.44,0.007623855
5/30/2014,1070007,0.003584467,103.28,-0.000672283
6/6/2014,1076058,0.002449062,102.58,-0.002953535
6/13/2014,1082101,0.002432118,105.32,0.011448156
6/20/2014,1087274,0.002071204,106.58,0.005164865
6/27/2014,1086834,-0.000175787,106.06,-0.002124093
7/4/2014,1091366,0.001807204,104.81,-0.005148902
7/11/2014,1092592,0.000487596,102.6,-0.00925536
7/18/2014,1097829,0.002076683,101.68,-0.003911823
7/25/2014,1097336,-0.000195072,103.26,0.006696583
8/1/2014,1089228,-0.00322083,99.79,-0.014845098
8/8/2014,1090747,0.00060523,97.52,-0.00999333
8/15/2014,1090065,-0.000271632,97.19,-0.00147211
8/22/2014,1091487,0.000566172,94.91,-0.010309609
8/29/2014,1092964,0.00058729,94.32,-0.002708181
9/5/2014,1102718,0.003858606,94.04,-0.001291172
9/12/2014,1107620,0.001926325,92.44,-0.007452684
9/19/2014,1108544,0.000362147,93.54,0.005137429
9/26/2014,1102727,-0.002284927,92.39,-0.005372398
10/3/2014,1106434,0.001457505,91.44,-0.00448875
10/10/2014,1107479,0.000409987,87.62,-0.018532969
10/17/2014,1111871,0.001718903,82.96,-0.023734505
10/24/2014,1103401,-0.00332103,81.83,-0.005956192
10/31/2014,1100972,-0.000957099,81.26,-0.003035733
11/7/2014,1094691,-0.002484727,78.24,-0.016447976
11/14/2014,1094727,1.4282E-05,76.51,-0.00971064
11/21/2014,1090051,-0.001859012,75.38,-0.006462069
11/28/2014,1088914,-0.000453236,72.43,-0.017337648
12/5/2014,1096205,0.002898197,67.18,-0.032678486
12/12/2014,1097390,0.00046922,61.11,-0.041127716
12/19/2014,1103824,0.002538834,55.79,-0.039555922
12/26/2014,1106648,0.001109671,55.74,-0.000389397
1/2/2015,1111801,0.002017557,53.42,-0.018463081
1/9/2015,1121784,0.003882181,48.75,-0.039729264
1/16/2015,1123888,0.000813793,47.08,-0.015138166
1/23/2015,1125856,0.000759812,46.52,-0.005196748
1/30/2015,1138099,0.004697195,45.72,-0.007533484
2/6/2015,1139763,0.000634513,50.65,0.044473228
2/13/2015,1138901,-0.00032858,51.14,0.004181274
2/20/2015,1141121,0.000845723,51.79,0.005485187
2/27/2015,1143418,0.000873327,49.53,-0.019377583
3/6/2015,1146528,0.001179641,50.4,0.007562208
3/13/2015,1153514,0.002638205,47.67,-0.024185385
3/20/2015,1163991,0.003926753,44.34,-0.031449463
3/27/2015,1167195,0.001193796,48.89,0.042424348
4/3/2015,1182063,0.005497205,48.88,-8.884E-05
4/10/2015,1189307,0.002653351,51.79,0.025114714
4/17/2015,1198453,0.003327032,54.81,0.024613891
4/24/2015,1205988,0.00272198,56.54,0.013496002
5/1/2015,1212201,0.002231651,58.28,0.013163739
5/8/2015,1206646,-0.00199476,59.72,0.010600256
5/15/2015,1204157,-0.000896763,60.01,0.002103828
5/22/2015,1206389,0.000804254,59.22,-0.005755224
5/29/2015,1213817,0.002665847,58.38,-0.006204312
6/5/2015,1213870,1.89626E-05,59.65,0.009346357
6/12/2015,1216610,0.000979204,60.09,0.003191756
6/19/2015,1210028,-0.002355962,59.89,-0.001447891
6/26/2015,1220363,0.003693612,60.06,0.001231015
7/3/2015,1230939,0.0037475,57.92,-0.015756775
7/10/2015,1233897,0.001042377,52.41,-0.043414393
7/17/2015,1236879,0.001048308,51.69,-0.006007628
7/24/2015,1237005,4.4239E-05,49.26,-0.020912125
7/31/2015,1236992,-4.56414E-06,47.96,-0.011615233
8/7/2015,1243009,0.002107382,44.92,-0.028439427
8/14/2015,1243962,0.000332841,43.21,-0.016855481
8/21/2015,1246907,0.001026949,41.38,-0.01879378
8/28/2015,1252526,0.001952687,40.79,-0.006236781
9/4/2015,1255803,0.001134766,46.73,0.059042076
9/11/2015,1264248,0.002910759,45.16,-0.014841848
9/18/2015,1261218,-0.001042115,45.46,0.002875498
9/25/2015,1264708,0.001200105,45.52,0.000572822
10/2/2015,1267240,0.000868607,45.01,-0.00489324
10/9/2015,1270600,0.001149978,48.33,0.030907782
10/16/2015,1272064,0.000500111,46.74,-0.014528087
10/23/2015,1268660,-0.001163715,45.32,-0.013398807
10/30/2015,1266757,-0.000651934,45.15,-0.001632147
11/6/2015,1269121,0.000809718,45.97,0.007816749
11/13/2015,1269361,8.21205E-05,42.64,-0.032657308
11/20/2015,1271706,0.000801569,40.82,-0.018944196
11/27/2015,1273841,0.000728503,42.34,0.015877853
12/4/2015,1270276,-0.00121713,40.9,-0.015027546
12/11/2015,1275094,0.001644109,36.94,-0.044226417
12/18/2015,1269935,-0.001760709,35.77,-0.013977951
12/25/2015,1269773,-5.54046E-05,36.62,0.0101994
1/1/2016,1278051,0.002822096,37.08,0.005421386
1/8/2016,1288078,0.003393978,34.63,-0.029687234
1/15/2016,1294608,0.002196124,30.59,-0.053873015
1/22/2016,1293511,-0.00036816,29.18,-0.020494189
1/29/2016,1303094,0.003205619,32.19,0.042635689
2/5/2016,1303518,0.000141288,31.28,-0.012454232
2/12/2016,1307078,0.001184472,28.15,-0.045788345
2/19/2016,1302018,-0.001684517,30.03,0.028076933
2/26/2016,1312140,0.003363187,32.27,0.031243633
3/4/2016,1311750,-0.000129102,34.66,0.031029593
3/11/2016,1313377,0.000538334,37.81,0.037778119
3/18/2016,1320209,0.002253282,38.32,0.005818823
3/25/2016,1321574,0.000448797,40.15,0.020260049
4/1/2016,1322018,0.000145882,38.22,-0.021394867
4/8/2016,1328711,0.002193162,37.26,-0.011047832
4/15/2016,1328303,-0.000133377,41.23,0.043970484
4/22/2016,1333690,0.001757741,42.08,0.008862396
4/29/2016,1335850,0.0007028,44.79,0.027105331
5/6/2016,1334025,-0.000593726,44.24,-0.005365944
5/13/2016,1333253,-0.000251399,45.45,0.011718769
5/20/2016,1332379,-0.000284791,48.03,0.023978699
5/27/2016,1329747,-0.00085876,49.01,0.008772116
6/3/2016,1334079,0.001412529,48.91,-0.00088704
6/10/2016,1333636,-0.000144238,50.18,0.011132994
6/17/2016,1339096,0.001774402,47.91,-0.020104486
6/24/2016,1337933,-0.000377347,49.02,0.009947136
7/1/2016,1341271,0.001082169,48.28,-0.006606045
7/8/2016,1348469,0.002324432,46.15,-0.019595556
7/15/2016,1351173,0.000869991,45.59,-0.005302113
7/22/2016,1354090,0.000936573,44.75,-0.008076553
7/29/2016,1356301,0.000708551,42.14,-0.026098508
8/5/2016,1359005,0.000864973,40.83,-0.013715151
8/12/2016,1360648,0.000524733,43.1,0.02349789
8/19/2016,1367347,0.002132954,47.17,0.039188606
8/26/2016,1371845,0.001426303,47.38,0.00192918
9/2/2016,1357983,-0.004410711,45.13,-0.021129723
9/9/2016,1363947,0.001903162,45.96,0.007914686
9/16/2016,1357880,-0.001936103,44.34,-0.015584331
9/23/2016,1357504,-0.000120274,44.58,0.002344375
9/30/2016,1315693,-0.013586554,46.74,0.020548644
10/7/2016,1341228,0.008348047,49.52,0.025091928
10/14/2016,1337407,-0.001239019,50.44,0.007994442
10/21/2016,1328257,-0.002981479,50.62,0.001547063
10/28/2016,1337021,0.002856115,49.62,-0.008665381
11/4/2016,1330107,-0.00225165,45.52,-0.037454507
11/11/2016,1337000,0.002244828,44.95,-0.005472557
11/18/2016,1336700,-9.74592E-05,45.16,0.002024237
11/25/2016,1336758,1.88438E-05,47.83,0.024946448
12/2/2016,1338118,0.000441621,48.9,0.009608478
12/9/2016,1336002,-0.000687304,50.97,0.018005774
12/16/2016,1324122,-0.003879107,51.93,0.008103689
12/23/2016,1311033,-0.004314378,52.56,0.005237034
12/30/2016,1317260,0.002057881,53.86,0.010610993
1/6/2017,1330891,0.004470984,53.34,-0.004213338
1/13/2017,1329108,-0.000582216,52.08,-0.010382036
1/20/2017,1338069,0.002918237,51.84,-0.002005983
