Date,Stock,Stock_change,Price,Price_change,Days_of_Supply,DoS_change
8/20/1993,1057497,-0.008855189,17.84,-0.000560224,23.1,-0.008583691
8/27/1993,1063265,0.005454389,18.47,0.035313901,23.2,0.004329004
9/3/1993,1063295,2.82E-05,18.14,-0.017866811,22.9,-0.012931034
9/10/1993,1064706,0.001327007,16.96,-0.065049614,23.1,0.008733624
9/17/1993,1064474,-0.000217901,16.93,-0.001768868,23.2,0.004329004
9/24/1993,1056881,-0.0071331,17.72,0.046662729,22.5,-0.030172414
10/1/1993,1057882,0.000947126,18.36,0.036117381,22.3,-0.008888889
10/8/1993,1063395,0.005211356,18.45,0.004901961,22.6,0.013452915
10/15/1993,1054386,-0.008471922,18.58,0.00704607,22.2,-0.017699115
10/22/1993,1062607,0.007796955,18.17,-0.022066738,22.9,0.031531532
10/29/1993,1068926,0.005946695,17.4,-0.042377545,23.1,0.008733624
11/5/1993,1064738,-0.003917951,17.31,-0.005172414,23,-0.004329004
11/12/1993,1069430,0.004406718,16.71,-0.034662045,23.5,0.02173913
11/19/1993,1061483,-0.007431061,16.76,0.00299222,23,-0.021276596
11/26/1993,1067113,0.0053039,16.7,-0.003579952,23.1,0.004347826
12/3/1993,1078583,0.010748627,15.23,-0.088023952,23.4,0.012987013
12/10/1993,1079414,0.000770455,14.71,-0.034143139,23.9,0.021367521
12/17/1993,1073501,-0.005477972,14.32,-0.026512576,24.1,0.008368201
12/24/1993,1073010,-0.000457382,14.45,0.009078212,24.2,0.004149378
12/31/1993,1065992,-0.00654048,14.21,-0.016608997,23.7,-0.020661157
1/7/1994,1052401,-0.012749627,15.06,0.05981703,23.3,-0.016877637
1/14/1994,1049713,-0.002554159,14.63,-0.028552457,23.3,0
1/21/1994,1035294,-0.013736135,15.05,0.028708134,23,-0.012875536
1/28/1994,1022402,-0.012452501,15.31,0.017275748,23.5,0.02173913
2/4/1994,1020338,-0.002018775,15.73,0.02743305,23.9,0.017021277
2/11/1994,1009412,-0.010708216,14.87,-0.0546726,23.6,-0.012552301
2/18/1994,1008431,-0.000971853,14.11,-0.051109617,23.9,0.012711864
2/25/1994,999336,-0.009018961,14.5,0.027639972,23.3,-0.025104603
3/4/1994,999587,0.000251167,14.65,0.010344828,24.1,0.034334764
3/11/1994,996804,-0.00278415,14.19,-0.031399317,23.9,-0.008298755
3/18/1994,1005120,0.008342663,14.82,0.044397463,25.1,0.050209205
3/25/1994,995732,-0.009340178,15.14,0.021592443,24.9,-0.007968127
4/1/1994,973629,-0.02219774,14.39,-0.049537649,24.9,0
4/8/1994,970134,-0.003589663,15.69,0.090340514,24.8,-0.004016064
4/15/1994,977238,0.0073227,16.08,0.024856597,24.5,-0.012096774
4/22/1994,983924,0.006841731,16.75,0.041666667,23.8,-0.028571429
4/29/1994,979774,-0.004217805,16.91,0.009552239,23.3,-0.021008403
5/6/1994,983759,0.004067264,17.18,0.015966884,22.4,-0.038626609
5/13/1994,992034,0.008411613,17.94,0.044237485,22.1,-0.013392857
5/20/1994,991174,-0.000866906,18.2,0.014492754,22.3,0.009049774
5/27/1994,989259,-0.001932052,17.89,-0.017032967,22.1,-0.00896861
6/3/1994,997148,0.007974656,18.22,0.018446059,21.8,-0.013574661
6/10/1994,997369,0.000221632,18.27,0.002744237,21.6,-0.009174312
6/17/1994,998839,0.001473878,19.64,0.074986316,21.5,-0.00462963
6/24/1994,1002321,0.003486047,19.78,0.00712831,21.6,0.004651163
7/1/1994,1009363,0.007025693,19.2,-0.029322548,21.6,0
7/8/1994,1015131,0.005714495,19.37,0.008854167,21.7,0.00462963
7/15/1994,1022604,0.007361611,20.17,0.041300981,21.9,0.00921659
7/22/1994,1029298,0.006546033,19.43,-0.036688151,22.2,0.01369863
7/29/1994,1030276,0.000950162,19.63,0.010293361,21.9,-0.013513514
8/5/1994,1030418,0.000137827,20.05,0.021395823,21.6,-0.01369863
8/12/1994,1033979,0.003455879,18.88,-0.058354115,21.8,0.009259259
8/19/1994,1036598,0.002532933,17.87,-0.053495763,21.5,-0.013761468
8/26/1994,1042220,0.00542351,17.22,-0.036373811,21.2,-0.013953488
9/2/1994,1043303,0.001039128,17.53,0.018002323,21.2,0
9/9/1994,1051625,0.00797659,17.66,0.007415859,21.2,0
9/16/1994,1056386,0.004527279,16.95,-0.040203851,21.4,0.009433962
9/23/1994,1060366,0.003767562,17.43,0.028318584,22,0.028037383
9/30/1994,1068985,0.008128326,17.85,0.024096386,22.3,0.013636364
10/7/1994,1070372,0.001297492,18.16,0.017366947,22.6,0.013452915
10/14/1994,1066277,-0.003825773,17.4,-0.04185022,23.2,0.026548673
10/21/1994,1060434,-0.005479814,17.32,-0.004597701,23.3,0.004310345
10/28/1994,1060133,-0.000283846,17.87,0.031755196,24.4,0.0472103
11/4/1994,1056886,-0.003062823,18.69,0.045886961,24.5,0.004098361
11/11/1994,1055746,-0.00107864,18.27,-0.02247191,24.4,-0.004081633
11/18/1994,1053812,-0.00183188,17.51,-0.041598248,24,-0.016393443
11/25/1994,1054421,0.000577902,17.84,0.018846374,23.2,-0.033333333
12/2/1994,1064797,0.009840472,17.81,-0.001681614,22.9,-0.012931034
12/9/1994,1053054,-0.011028393,16.98,-0.046603032,22.8,-0.004366812
12/16/1994,1052374,-0.000645741,16.86,-0.007067138,22.7,-0.004385965
12/23/1994,1039788,-0.011959627,17.07,0.012455516,22.9,0.008810573
12/30/1994,1029548,-0.009848161,17.73,0.038664323,22.4,-0.021834061
1/6/1995,1031406,0.001804675,17.58,-0.008460237,22.3,-0.004464286
1/13/1995,1031289,-0.000113437,17.55,-0.001706485,22.3,0
1/20/1995,1022771,-0.008259566,18.45,0.051282051,22,-0.013452915
1/27/1995,1018773,-0.003908988,18.21,-0.01300813,22.3,0.013636364
2/3/1995,1018721,-5.10E-05,18.46,0.01372872,22.9,0.02690583
2/10/1995,1007846,-0.010675151,18.41,-0.002708559,22.6,-0.013100437
2/17/1995,1005809,-0.002021142,18.5,0.004888647,23.1,0.022123894
2/24/1995,994038,-0.011703017,18.65,0.008108108,22.7,-0.017316017
3/3/1995,997970,0.003955583,18.49,-0.008579088,22.8,0.004405286
3/10/1995,994785,-0.003191479,18.3,-0.010275825,22.7,-0.004385965
3/17/1995,993588,-0.001203275,18.13,-0.009289617,22.8,0.004405286
3/24/1995,997725,0.004163698,18.73,0.033094319,23.1,0.013157895
3/31/1995,998284,0.000560275,19.13,0.021356113,23.8,0.03030303
4/7/1995,991633,-0.006662433,19.44,0.016204914,23.6,-0.008403361
4/14/1995,989215,-0.002438402,19.54,0.005144033,23.6,0
4/21/1995,994666,0.00551043,20.22,0.034800409,23.4,-0.008474576
4/28/1995,989164,-0.005531505,20.27,0.002472799,22.9,-0.021367521
5/5/1995,989712,0.000554003,20.22,-0.0024667,22.6,-0.013100437
5/12/1995,993896,0.004227492,19.72,-0.024727992,22.5,-0.004424779
5/19/1995,992322,-0.001583667,20,0.014198783,22.2,-0.013333333
5/26/1995,1003169,0.010930928,19.39,-0.0305,21.8,-0.018018018
6/2/1995,1005547,0.002370488,18.93,-0.023723569,21.4,-0.018348624
6/9/1995,1007105,0.001549405,19.03,0.00528262,21,-0.018691589
6/16/1995,1009579,0.002456546,18.92,-0.005780347,20.9,-0.004761905
6/23/1995,1002168,-0.007340684,17.74,-0.062367865,20.3,-0.028708134
6/30/1995,1005353,0.00317811,17.67,-0.003945885,20.7,0.019704433
7/7/1995,1010077,0.004698847,17.23,-0.024900962,20.7,0
